source_file,section,instance,family,family_group,P,radiusCoeff,alpha,beta,feasible,metric,value
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.5,1.5,1.0,1.0,True,n_coarsened,4.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.5,1.5,1.0,1.0,True,num_vehicles,2.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.5,1.5,1.0,1.0,True,time_window_violations,0.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.5,1.5,1.0,1.0,True,total_distance,191.23298176125223
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.6,2.0,0.5,0.8,True,computation_time,3.23
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.6,2.0,0.5,0.8,True,n_coarsened,5.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.6,2.0,0.5,0.8,True,num_vehicles,2.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.6,2.0,0.5,0.8,True,time_window_violations,0.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.6,2.0,0.5,0.8,True,total_distance,229.2899618089964
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.6,2.0,0.7,0.4,True,computation_time,3.33
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.6,2.0,0.7,0.4,True,n_coarsened,5.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.6,2.0,0.7,0.4,True,num_vehicles,2.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.6,2.0,0.7,0.4,True,time_window_violations,0.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.6,2.0,0.7,0.4,True,total_distance,229.28996180899642
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.6,1.5,0.7,0.8,True,computation_time,3.43
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.6,1.5,0.7,0.8,True,n_coarsened,5.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.6,1.5,0.7,0.8,True,num_vehicles,2.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.6,1.5,0.7,0.8,True,time_window_violations,0.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.6,1.5,0.7,0.8,True,total_distance,191.23298176125223
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.7,2.0,0.7,0.8,True,computation_time,3.29
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.7,2.0,0.7,0.8,True,n_coarsened,5.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.7,2.0,0.7,0.8,True,num_vehicles,2.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.7,2.0,0.7,0.8,True,time_window_violations,0.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.7,2.0,0.7,0.8,True,total_distance,227.80852719372498
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.5,1.5,0.3,0.2,True,computation_time,2.04
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.5,1.5,0.3,0.2,True,n_coarsened,4.0
