source_file,instance,family,family_group,scale,method,solver,configuration,metric,value
result_only_coarsened_quantum.json,C104,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,time_window_violations,0.0
result_only_coarsened_quantum.json,C104,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_demand_served,260.0
result_only_coarsened_quantum.json,C104,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_distance,287.5660784124417
result_only_coarsened_quantum.json,C104,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_route_duration,2824.610879337424
result_only_coarsened_quantum.json,C104,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_service_time,1350.0
result_only_coarsened_quantum.json,C104,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_waiting_time,1187.0448009249826
result_only_coarsened_quantum.json,C105,C,C1,All,Inflated,FullQubo,Inflated FullQubo,capacity_violations,0.0
result_only_coarsened_quantum.json,C105,C,C1,All,Inflated,FullQubo,Inflated FullQubo,computation_time,2.687270207970869
result_only_coarsened_quantum.json,C105,C,C1,All,Inflated,FullQubo,Inflated FullQubo,num_vehicles,4.0
result_only_coarsened_quantum.json,C105,C,C1,All,Inflated,FullQubo,Inflated FullQubo,time_window_violations,0.0
result_only_coarsened_quantum.json,C105,C,C1,All,Inflated,FullQubo,Inflated FullQubo,total_demand_served,260.0
result_only_coarsened_quantum.json,C105,C,C1,All,Inflated,FullQubo,Inflated FullQubo,total_distance,244.62279313178362
result_only_coarsened_quantum.json,C105,C,C1,All,Inflated,FullQubo,Inflated FullQubo,total_route_duration,2970.9431208493065
result_only_coarsened_quantum.json,C105,C,C1,All,Inflated,FullQubo,Inflated FullQubo,total_service_time,1350.0
result_only_coarsened_quantum.json,C105,C,C1,All,Inflated,FullQubo,Inflated FullQubo,total_waiting_time,1376.3203277175226
result_only_coarsened_quantum.json,C105,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,capacity_violations,0.0
result_only_coarsened_quantum.json,C105,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,computation_time,2.6919730830122717
result_only_coarsened_quantum.json,C105,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,num_vehicles,3.0
result_only_coarsened_quantum.json,C105,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,time_window_violations,0.0
result_only_coarsened_quantum.json,C105,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_demand_served,260.0
result_only_coarsened_quantum.json,C105,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_distance,209.59133945573652
result_only_coarsened_quantum.json,C105,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_route_duration,2574.5055911130316
result_only_coarsened_quantum.json,C105,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_service_time,1350.0
result_only_coarsened_quantum.json,C105,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_waiting_time,1014.9142516572953
result_only_coarsened_quantum.json,C106,C,C1,All,Inflated,FullQubo,Inflated FullQubo,capacity_violations,0.0
result_only_coarsened_quantum.json,C106,C,C1,All,Inflated,FullQubo,Inflated FullQubo,computation_time,3.667683499981649
result_only_coarsened_quantum.json,C106,C,C1,All,Inflated,FullQubo,Inflated FullQubo,num_vehicles,5.0
result_only_coarsened_quantum.json,C106,C,C1,All,Inflated,FullQubo,Inflated FullQubo,time_window_violations,0.0
result_only_coarsened_quantum.json,C106,C,C1,All,Inflated,FullQubo,Inflated FullQubo,total_demand_served,260.0
result_only_coarsened_quantum.json,C106,C,C1,All,Inflated,FullQubo,Inflated FullQubo,total_distance,274.3391898581859
result_only_coarsened_quantum.json,C106,C,C1,All,Inflated,FullQubo,Inflated FullQubo,total_route_duration,3428.744893603271
result_only_coarsened_quantum.json,C106,C,C1,All,Inflated,FullQubo,Inflated FullQubo,total_service_time,1350.0
result_only_coarsened_quantum.json,C106,C,C1,All,Inflated,FullQubo,Inflated FullQubo,total_waiting_time,1804.4057037450855
result_only_coarsened_quantum.json,C106,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,capacity_violations,0.0
result_only_coarsened_quantum.json,C106,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,computation_time,3.656472417002078
result_only_coarsened_quantum.json,C106,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,num_vehicles,4.0
result_only_coarsened_quantum.json,C106,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,time_window_violations,0.0
result_only_coarsened_quantum.json,C106,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_demand_served,260.0
result_only_coarsened_quantum.json,C106,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_distance,277.30418868217754
result_only_coarsened_quantum.json,C106,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_route_duration,3137.9266902525037
result_only_coarsened_quantum.json,C106,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_service_time,1350.0
result_only_coarsened_quantum.json,C106,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_waiting_time,1510.6225015703262
result_only_coarsened_quantum.json,C107,C,C1,All,Inflated,FullQubo,Inflated FullQubo,capacity_violations,0.0
result_only_coarsened_quantum.json,C107,C,C1,All,Inflated,FullQubo,Inflated FullQubo,computation_time,2.6741757089621387
result_only_coarsened_quantum.json,C107,C,C1,All,Inflated,FullQubo,Inflated FullQubo,num_vehicles,4.0
result_only_coarsened_quantum.json,C107,C,C1,All,Inflated,FullQubo,Inflated FullQubo,time_window_violations,0.0
result_only_coarsened_quantum.json,C107,C,C1,All,Inflated,FullQubo,Inflated FullQubo,total_demand_served,260.0
result_only_coarsened_quantum.json,C107,C,C1,All,Inflated,FullQubo,Inflated FullQubo,total_distance,214.90411149767658
result_only_coarsened_quantum.json,C107,C,C1,All,Inflated,FullQubo,Inflated FullQubo,total_route_duration,2855.9431208493065
result_only_coarsened_quantum.json,C107,C,C1,All,Inflated,FullQubo,Inflated FullQubo,total_service_time,1350.0
result_only_coarsened_quantum.json,C107,C,C1,All,Inflated,FullQubo,Inflated FullQubo,total_waiting_time,1291.0390093516296
result_only_coarsened_quantum.json,C107,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,capacity_violations,0.0
result_only_coarsened_quantum.json,C107,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,computation_time,2.687712167040445
result_only_coarsened_quantum.json,C107,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,num_vehicles,5.0
result_only_coarsened_quantum.json,C107,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,time_window_violations,0.0
result_only_coarsened_quantum.json,C107,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_demand_served,260.0
result_only_coarsened_quantum.json,C107,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_distance,270.0084819715747
result_only_coarsened_quantum.json,C107,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_route_duration,3007.5548080523035
result_only_coarsened_quantum.json,C107,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_service_time,1350.0
result_only_coarsened_quantum.json,C107,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_waiting_time,1387.546326080729
result_only_coarsened_quantum.json,C108,C,C1,All,Inflated,FullQubo,Inflated FullQubo,capacity_violations,0.0
result_only_coarsened_quantum.json,C108,C,C1,All,Inflated,FullQubo,Inflated FullQubo,computation_time,2.688496667018626
result_only_coarsened_quantum.json,C108,C,C1,All,Inflated,FullQubo,Inflated FullQubo,num_vehicles,4.0
result_only_coarsened_quantum.json,C108,C,C1,All,Inflated,FullQubo,Inflated FullQubo,time_window_violations,0.0
result_only_coarsened_quantum.json,C108,C,C1,All,Inflated,FullQubo,Inflated FullQubo,total_demand_served,260.0
result_only_coarsened_quantum.json,C108,C,C1,All,Inflated,FullQubo,Inflated FullQubo,total_distance,213.84837309398142
result_only_coarsened_quantum.json,C108,C,C1,All,Inflated,FullQubo,Inflated FullQubo,total_route_duration,3005.0847845528842
result_only_coarsened_quantum.json,C108,C,C1,All,Inflated,FullQubo,Inflated FullQubo,total_service_time,1350.0
result_only_coarsened_quantum.json,C108,C,C1,All,Inflated,FullQubo,Inflated FullQubo,total_waiting_time,1441.2364114589025
result_only_coarsened_quantum.json,C108,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,capacity_violations,0.0
result_only_coarsened_quantum.json,C108,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,computation_time,2.705633500008844
result_only_coarsened_quantum.json,C108,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,num_vehicles,4.0
result_only_coarsened_quantum.json,C108,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,time_window_violations,0.0
result_only_coarsened_quantum.json,C108,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_demand_served,260.0
result_only_coarsened_quantum.json,C108,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_distance,235.26156961062085
result_only_coarsened_quantum.json,C108,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_route_duration,2300.0189771289747
result_only_coarsened_quantum.json,C108,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_service_time,1350.0
result_only_coarsened_quantum.json,C108,C,C1,All,Inflated,AveragePartitionSolver,Inflated AveragePartitionSolver,total_waiting_time,714.7574075183538
